frame,componente,problema,codigo_problema,area_px,largura_px,altura_px,x_px,y_px,proporcao_largura_altura,preenchimento,circularidade,tocou_crop_vertical,tocou_borda_lateral,threshold_usado,percentil_escuro_q,min_altura_config_px,min_largura_config_px,min_area_config_px
0,0,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,110.0,25.0,10.0,402.0,408.0,2.5,0.44,0.41873005741404734,False,False,75.0,37.0,70.0,80.0,6000.0
0,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,4.0,4.0,3.0,369.0,398.0,1.3333333333333333,0.3333333333333333,0.8573716241035623,False,False,75.0,37.0,70.0,80.0,6000.0
0,2,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,12.0,7.0,5.0,370.0,385.0,1.4,0.34285714285714286,0.6430287180776717,False,False,75.0,37.0,70.0,80.0,6000.0
0,3,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,6.0,5.0,3.0,375.0,374.0,1.6666666666666667,0.4,0.8085181428902574,False,False,75.0,37.0,70.0,80.0,6000.0
0,4,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,17.0,9.0,4.0,379.0,362.0,2.25,0.4722222222222222,0.6251822815242696,False,False,75.0,37.0,70.0,80.0,6000.0
0,5,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,16.0,10.0,3.0,369.0,339.0,3.3333333333333335,0.5333333333333333,0.5203574969632394,False,False,75.0,37.0,70.0,80.0,6000.0
0,6,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,76.5,23.0,8.0,410.0,301.0,2.875,0.4157608695652174,0.3616654252460705,False,False,75.0,37.0,70.0,80.0,6000.0
0,8,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,155.0,16.0,17.0,0.0,216.0,0.9411764705882353,0.5698529411764706,0.7032624879502289,False,True,75.0,37.0,70.0,80.0,6000.0
0,9,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,224.5,24.0,16.0,404.0,177.0,1.5,0.5846354166666666,0.5013747871112691,False,False,75.0,37.0,70.0,80.0,6000.0
0,10,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,182.5,21.0,16.0,354.0,113.0,1.3125,0.5431547619047619,0.5313271813019038,False,False,75.0,37.0,70.0,80.0,6000.0
0,11,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,2948.0,174.0,66.0,261.0,0.0,2.6363636363636362,0.2567049808429119,0.09502170097519343,True,False,75.0,37.0,70.0,80.0,6000.0
1,0,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,110.0,25.0,10.0,402.0,408.0,2.5,0.44,0.41873005741404734,False,False,75.0,37.0,70.0,80.0,6000.0
1,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,4.0,4.0,3.0,369.0,398.0,1.3333333333333333,0.3333333333333333,0.8573716241035623,False,False,75.0,37.0,70.0,80.0,6000.0
1,2,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,12.0,7.0,5.0,370.0,385.0,1.4,0.34285714285714286,0.6430287180776717,False,False,75.0,37.0,70.0,80.0,6000.0
1,3,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,6.0,5.0,3.0,375.0,374.0,1.6666666666666667,0.4,0.8085181428902574,False,False,75.0,37.0,70.0,80.0,6000.0
1,4,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,17.0,9.0,4.0,379.0,362.0,2.25,0.4722222222222222,0.6251822815242696,False,False,75.0,37.0,70.0,80.0,6000.0
1,5,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,16.0,10.0,3.0,369.0,339.0,3.3333333333333335,0.5333333333333333,0.5203574969632394,False,False,75.0,37.0,70.0,80.0,6000.0
1,6,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,76.5,23.0,8.0,410.0,301.0,2.875,0.4157608695652174,0.3616654252460705,False,False,75.0,37.0,70.0,80.0,6000.0
1,8,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,155.0,16.0,17.0,0.0,216.0,0.9411764705882353,0.5698529411764706,0.7032624879502289,False,True,75.0,37.0,70.0,80.0,6000.0
1,9,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,224.5,24.0,16.0,404.0,177.0,1.5,0.5846354166666666,0.5013747871112691,False,False,75.0,37.0,70.0,80.0,6000.0
1,10,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,182.5,21.0,16.0,354.0,113.0,1.3125,0.5431547619047619,0.5313271813019038,False,False,75.0,37.0,70.0,80.0,6000.0
1,11,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,2948.0,174.0,66.0,261.0,0.0,2.6363636363636362,0.2567049808429119,0.09502170097519343,True,False,75.0,37.0,70.0,80.0,6000.0
2,0,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,110.0,25.0,10.0,402.0,408.0,2.5,0.44,0.41873005741404734,False,False,75.0,37.0,70.0,80.0,6000.0
2,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,4.0,4.0,3.0,369.0,398.0,1.3333333333333333,0.3333333333333333,0.8573716241035623,False,False,75.0,37.0,70.0,80.0,6000.0
2,2,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,12.0,7.0,5.0,370.0,385.0,1.4,0.34285714285714286,0.6430287180776717,False,False,75.0,37.0,70.0,80.0,6000.0
2,3,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,6.0,5.0,3.0,375.0,374.0,1.6666666666666667,0.4,0.8085181428902574,False,False,75.0,37.0,70.0,80.0,6000.0
2,4,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,17.0,9.0,4.0,379.0,362.0,2.25,0.4722222222222222,0.6251822815242696,False,False,75.0,37.0,70.0,80.0,6000.0
2,5,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,16.0,10.0,3.0,369.0,339.0,3.3333333333333335,0.5333333333333333,0.5203574969632394,False,False,75.0,37.0,70.0,80.0,6000.0
2,6,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,76.5,23.0,8.0,410.0,301.0,2.875,0.4157608695652174,0.3616654252460705,False,False,75.0,37.0,70.0,80.0,6000.0
2,8,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,155.0,16.0,17.0,0.0,216.0,0.9411764705882353,0.5698529411764706,0.7032624879502289,False,True,75.0,37.0,70.0,80.0,6000.0
2,9,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,224.5,24.0,16.0,404.0,177.0,1.5,0.5846354166666666,0.5013747871112691,False,False,75.0,37.0,70.0,80.0,6000.0
2,10,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,182.5,21.0,16.0,354.0,113.0,1.3125,0.5431547619047619,0.5313271813019038,False,False,75.0,37.0,70.0,80.0,6000.0
2,11,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,2958.0,174.0,66.0,261.0,0.0,2.6363636363636362,0.25757575757575757,0.09509152955975501,True,False,75.0,37.0,70.0,80.0,6000.0
3,0,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,110.0,25.0,10.0,402.0,408.0,2.5,0.44,0.41873005741404734,False,False,75.0,37.0,70.0,80.0,6000.0
3,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,4.0,4.0,3.0,369.0,398.0,1.3333333333333333,0.3333333333333333,0.8573716241035623,False,False,75.0,37.0,70.0,80.0,6000.0
3,2,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,12.0,7.0,5.0,370.0,385.0,1.4,0.34285714285714286,0.6430287180776717,False,False,75.0,37.0,70.0,80.0,6000.0
3,3,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,6.0,5.0,3.0,375.0,374.0,1.6666666666666667,0.4,0.8085181428902574,False,False,75.0,37.0,70.0,80.0,6000.0
3,4,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,17.0,9.0,4.0,379.0,362.0,2.25,0.4722222222222222,0.6251822815242696,False,False,75.0,37.0,70.0,80.0,6000.0
3,5,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,16.0,10.0,3.0,369.0,339.0,3.3333333333333335,0.5333333333333333,0.5203574969632394,False,False,75.0,37.0,70.0,80.0,6000.0
3,6,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,76.5,23.0,8.0,410.0,301.0,2.875,0.4157608695652174,0.3616654252460705,False,False,75.0,37.0,70.0,80.0,6000.0
