frame,componente,problema,codigo_problema,area_px,largura_px,altura_px,x_px,y_px,proporcao_largura_altura,preenchimento,circularidade,tocou_crop_vertical,tocou_borda_lateral,threshold_usado,percentil_escuro_q,min_altura_config_px,min_largura_config_px,min_area_config_px
0,0,Objeto escuro rejeitado porque é estreito demais para ser a bolinha.,too_small_width,2043.0,39.0,78.0,394.0,402.0,0.5,0.6715976331360947,0.5707756641143346,True,False,75.0,38.0,70.0,80.0,6000.0
0,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,122.0,27.0,11.0,394.0,344.0,2.4545454545454546,0.4107744107744108,0.39087752521586205,False,False,75.0,38.0,70.0,80.0,6000.0
0,2,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,6.0,3.0,5.0,127.0,270.0,0.6,0.4,0.8085181428902574,False,False,75.0,38.0,70.0,80.0,6000.0
0,3,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,61.0,23.0,8.0,404.0,231.0,2.875,0.33152173913043476,0.28194349125893664,False,False,75.0,38.0,70.0,80.0,6000.0
0,5,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,192.0,25.0,16.0,398.0,100.0,1.5625,0.48,0.45995698795534634,False,False,75.0,38.0,70.0,80.0,6000.0
0,6,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,363.5,35.0,30.0,339.0,31.0,1.1666666666666667,0.3461904761904762,0.31119772603195495,False,False,75.0,38.0,70.0,80.0,6000.0
1,0,Objeto escuro rejeitado porque é estreito demais para ser a bolinha.,too_small_width,2045.0,39.0,78.0,394.0,402.0,0.5,0.6722550953320184,0.5713344263895321,True,False,75.0,38.0,70.0,80.0,6000.0
1,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,121.0,27.0,11.0,394.0,344.0,2.4545454545454546,0.4074074074074074,0.3876736125505972,False,False,75.0,38.0,70.0,80.0,6000.0
1,2,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,6.0,3.0,5.0,127.0,270.0,0.6,0.4,0.8085181428902574,False,False,75.0,38.0,70.0,80.0,6000.0
1,3,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,61.0,23.0,8.0,404.0,231.0,2.875,0.33152173913043476,0.28194349125893664,False,False,75.0,38.0,70.0,80.0,6000.0
1,5,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,192.0,25.0,16.0,398.0,100.0,1.5625,0.48,0.45995698795534634,False,False,75.0,38.0,70.0,80.0,6000.0
1,6,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,363.5,35.0,30.0,339.0,31.0,1.1666666666666667,0.3461904761904762,0.31119772603195495,False,False,75.0,38.0,70.0,80.0,6000.0
2,0,Objeto escuro rejeitado porque é estreito demais para ser a bolinha.,too_small_width,2042.5,39.0,78.0,394.0,402.0,0.5,0.6714332675871137,0.5738013422673502,True,False,75.0,38.0,70.0,80.0,6000.0
