frame,valid,method,confidence,x_center_px,y_center_px,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px,area_px,fill_ratio,circularity,mean_gray,y_top_blob_px,y_top_subpx,x_top_blob_px,top_columns_used,topo_ruler_mm,bbox_aspect,mask_threshold,q_dark,fracao_bbox_a_direita_da_regua,limite_regua_x_px,topo_ruler_mm_estimado,topo_score,valid_ball_candidate,top_valid,top_reason,problema_frame,componentes_encontrados_na_mascara,componentes_rejeitados,candidatos_aceitos_no_frame,threshold_usado,percentil_escuro_q,historical_x_center_median_px,historical_x_margin_px,outside_historical_region,valid_ball,y_top_subpx_median,topo_ruler_mm_median,x_center_px_median,y_center_px_median,ruler_ok,ruler_reason,ruler_detection_mode,ruler_roi_x_px,ruler_roi_y_px,ruler_roi_w_px,ruler_roi_h_px,ruler_top_y_px,ruler_zero_y_px,ruler_top_x_px,ruler_zero_x_px,ruler_height_mm,px_per_mm,mm_per_px,ruler_tick_count,ruler_green_guide_detected,ruler_green_guide_x_px,ruler_green_guide_y_min_px,ruler_green_guide_y_max_px,ruler_green_guide_bbox_x_px,ruler_green_guide_bbox_y_px,ruler_green_guide_bbox_w_px,ruler_green_guide_bbox_h_px,ruler_green_guide_area_px,ruler_height_mm_config,video_width_px,video_height_px,ball_crop_ymin_ratio,ball_crop_ymax_ratio,ball_min_effective_threshold,reject_giant_border_blobs,ball_min_width_px_config,ball_min_height_px_config,ball_min_area_px_config,ball_max_aspect_ratio_config,physical_gate_enabled,ball_max_bbox_fraction_right_of_ruler_config,ball_ruler_left_margin_px_config,physical_x_mask_enabled,ball_physical_x_cut_margin_px_config,physical_ball_x_limit_px,ball_min_topo_ruler_mm_config,historical_x_gate_enabled_config,sync_red_area_px,sync_red_centroid_x_px,sync_red_centroid_y_px,sync_raw_score,sync_score,sync_pulse,led_on,sync_event,sync_rising_edge,sync_falling_edge,sync_rising_frame,sync_falling_frame,sync_initial_rising_frame,sync_initial_falling_frame,sync_initial_pulse_width_frames,sync_last_rising_frame,sync_last_falling_frame,sync_total_pulses,sync_pulse_index,sync_pulse_start_frame,sync_pulse_end_frame,sync_pulse_width_frames,sync_pulse_is_first,sync_pulse_is_last,time_video_ms,time_real_ms,frame_sync,time_sync_ms,time_from_sync_fall_ms,sync_pulse_start_time_sync_ms,sync_pulse_end_time_sync_ms,sync_pulse_width_ms,fps_playback,fps_capture,metadata_time_source,metadata_time_confidence,time_scale_detected,sync_initial_pulse_width_frames_calc,sync_initial_pulse_width_ms_calc
0,True,dark_blob,0.8627838464553587,196.08199997879356,327.36481428465396,92.0,228.0,232.0,185.0,31437.0,0.7324557315936626,0.6871284773548565,48.29269367582711,229.0,229.15168539325842,189.0,226,13.70139079199781,1.2540540540540541,75.0,37.0,0.0,455.0,13.70139079199781,0.2765523995292829,True,True,OK,OK,12,11,1,75.0,37.0,196.30603824115596,110.0,False,True,229.15168539325842,13.70139079199781,196.08005673082022,327.3701102804729,True,green_guide_full_height_reference,green_guide_height_reference,447,74,33,328,74.0,402.0,466.67353698108985,466.67353698108985,26.0,12.615384615384615,0.07926829268292683,0,True,466.67353698108985,74.0,402.0,448.0,74.0,32.0,328.0,7447.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,439.0,9.0,True,210.0,17.415079365079364,189.65158730158728,54.799307958477506,0.0,0,False,LOW,0,0,117,165,117,165,48,2396,2446,11,-1,,,,0,0,0.0,0.0,-117,-487.5,-687.5,,,,29.999741914252283,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12499892464271785,48,200.0
1,True,dark_blob,0.8627382106138705,196.07764946660728,327.3719274246569,92.0,228.0,232.0,185.0,31434.0,0.732385834109972,0.6870629054035868,48.30465306636443,229.0,229.15168539325842,189.0,226,13.70139079199781,1.2540540540540541,75.0,37.0,0.0,455.0,13.70139079199781,0.2765523995292829,True,True,OK,OK,12,11,1,75.0,37.0,196.30603824115596,110.0,False,True,229.15168539325842,13.70139079199781,196.0801283070887,327.3701818567414,True,green_guide_full_height_reference,green_guide_height_reference,447,74,33,328,74.0,402.0,466.67353698108985,466.67353698108985,26.0,12.615384615384615,0.07926829268292683,0,True,466.67353698108985,74.0,402.0,448.0,74.0,32.0,328.0,7447.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,439.0,9.0,True,224.5,16.85523385300668,189.5835189309577,58.962011733827396,0.0,0,False,LOW,0,0,117,165,117,165,48,2396,2446,11,-1,,,,0,0,33.333620097742234,4.166666666666667,-116,-483.3333333333333,-683.3333333333334,,,,29.999741914252283,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12499892464271785,48,200.0
2,True,dark_blob,0.8627499208529682,196.0801283070887,327.3701818567414,92.0,228.0,232.0,185.0,31435.0,0.7324091332712023,0.687084763584856,48.30253423579411,229.0,229.15168539325842,189.0,226,13.70139079199781,1.2540540540540541,75.0,37.0,0.0,455.0,13.70139079199781,0.2765523995292829,True,True,OK,OK,12,11,1,75.0,37.0,196.30603824115596,110.0,False,True,229.15168539325842,13.70139079199781,196.08106414294113,327.3710546406992,True,green_guide_full_height_reference,green_guide_height_reference,447,74,33,328,74.0,402.0,466.67353698108985,466.67353698108985,26.0,12.615384615384615,0.07926829268292683,0,True,466.67353698108985,74.0,402.0,448.0,74.0,32.0,328.0,7447.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,439.0,9.0,True,217.0,17.082181259600613,189.7112135176651,57.36161326319147,0.0,0,False,LOW,0,0,117,165,117,165,48,2396,2446,11,-1,,,,0,0,66.66724019548447,8.333333333333334,-115,-479.1666666666667,-679.1666666666667,,,,29.999741914252283,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12499892464271785,48,200.0
3,True,dark_blob,0.8627475007364879,196.0799851545517,327.37003870420443,92.0,228.0,232.0,185.0,31435.0,0.7324091332712023,0.687084763584856,48.30382496458366,229.0,229.15168539325842,189.0,226,13.70139079199781,1.2540540540540541,75.0,37.0,0.0,455.0,13.70139079199781,0.2765523995292829,True,True,OK,OK,12,11,1,75.0,37.0,196.30603824115596,110.0,False,True,229.15168539325842,13.70139079199781,196.08199997879356,327.3719274246569,True,green_guide_full_height_reference,green_guide_height_reference,447,74,33,328,74.0,402.0,466.67353698108985,466.67353698108985,26.0,12.615384615384615,0.07926829268292683,0,True,466.67353698108985,74.0,402.0,448.0,74.0,32.0,328.0,7447.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,439.0,9.0,True,224.5,16.85523385300668,189.5835189309577,58.962011733827396,0.0,0,False,LOW,0,0,117,165,117,165,48,2396,2446,11,-1,,,,0,0,100.00086029322671,12.5,-114,-475.0,-675.0,,,,29.999741914252283,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12499892464271785,48,200.0
4,True,dark_blob,0.8628488170914291,196.1290290099314,327.3845644270618,92.0,228.0,232.0,185.0,31449.0,0.732735321528425,0.6873907655922171,48.30756159728122,229.0,229.15168539325842,189.0,227,13.70139079199781,1.2540540540540541,75.0,37.0,0.0,455.0,13.70139079199781,0.2765523995292829,True,True,OK,OK,12,11,1,75.0,37.0,196.30603824115596,110.0,False,True,229.15168539325842,13.70139079199781,196.12442034861226,327.3835665076841,True,green_guide_full_height_reference,green_guide_height_reference,447,74,33,328,74.0,402.0,466.67353698108985,466.67353698108985,26.0,12.615384615384615,0.07926829268292683,0,True,466.67353698108985,74.0,402.0,448.0,74.0,32.0,328.0,7447.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,439.0,9.0,True,217.0,17.082181259600613,189.7112135176651,57.36161326319147,0.0,0,False,LOW,0,0,117,165,117,165,48,2396,2446,11,-1,,,,0,0,133.33448039096893,16.666666666666668,-113,-470.8333333333333,-670.8333333333333,,,,29.999741914252283,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12499892464271785,48,200.0
5,True,dark_blob,0.8628621185062918,196.12592474827767,327.3835665076841,92.0,228.0,232.0,185.0,31450.0,0.7327586206896551,0.6874126229093208,48.304594084329764,229.0,229.15168539325842,189.0,227,13.70139079199781,1.2540540540540541,75.0,37.0,0.0,455.0,13.70139079199781,0.2765523995292829,True,True,OK,OK,12,11,1,75.0,37.0,196.30603824115596,110.0,False,True,229.15168539325842,13.70139079199781,196.12592474827767,327.3835665076841,True,green_guide_full_height_reference,green_guide_height_reference,447,74,33,328,74.0,402.0,466.67353698108985,466.67353698108985,26.0,12.615384615384615,0.07926829268292683,0,True,466.67353698108985,74.0,402.0,448.0,74.0,32.0,328.0,7447.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,439.0,9.0,True,224.5,16.85523385300668,189.5835189309577,58.962011733827396,0.0,0,False,LOW,0,0,117,165,117,165,48,2396,2446,11,-1,,,,0,0,166.66810048871116,20.833333333333332,-112,-466.6666666666667,-666.6666666666666,,,,29.999741914252283,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12499892464271785,48,200.0
6,True,dark_blob,0.8627582481709992,196.15000847744997,327.3947948457104,92.0,228.0,232.0,185.0,31456.0,0.7328984156570364,0.6860438511697011,48.30503995469704,229.0,229.08620689655172,189.0,227,13.706581160639194,1.2540540540540541,75.0,38.0,0.0,455.0,13.706581160639194,0.2768577153317173,True,True,OK,OK,13,12,1,75.0,38.0,196.30603824115596,110.0,False,True,229.15168539325842,13.70139079199781,196.1290290099314,327.3835665076841,True,green_guide_full_height_reference,green_guide_height_reference,447,74,33,328,74.0,402.0,466.67353698108985,466.67353698108985,26.0,12.615384615384615,0.07926829268292683,0,True,466.67353698108985,74.0,402.0,448.0,74.0,32.0,328.0,7447.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,439.0,9.0,True,225.0,16.925185185185185,189.65407407407406,58.83044982698962,0.0,0,False,LOW,0,0,117,165,117,165,48,2396,2446,11,-1,,,,0,0,200.00172058645342,25.0,-111,-462.5,-662.5,,,,29.999741914252283,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12499892464271785,48,200.0
7,True,dark_blob,0.8627972651851545,196.12442034861226,327.3854078890885,92.0,228.0,232.0,185.0,31448.5,0.7327236719478099,0.686940117381686,48.32113411794323,229.0,229.08620689655172,189.0,226,13.706581160639194,1.2540540540540541,75.0,38.0,0.0,455.0,13.706581160639194,0.2768577153317173,True,True,OK,OK,12,11,1,75.0,38.0,196.30603824115596,110.0,False,True,229.15168539325842,13.70139079199781,196.15000847744997,327.3835665076841,True,green_guide_full_height_reference,green_guide_height_reference,447,74,33,328,74.0,402.0,466.67353698108985,466.67353698108985,26.0,12.615384615384615,0.07926829268292683,0,True,466.67353698108985,74.0,402.0,448.0,74.0,32.0,328.0,7447.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,439.0,9.0,True,216.5,17.106235565819862,189.54041570438798,58.03359636537542,0.0,0,False,LOW,0,0,117,165,117,165,48,2396,2446,11,-1,,,,0,0,233.33534068419564,29.166666666666668,-110,-458.3333333333333,-658.3333333333334,,,,29.999741914252283,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12499892464271785,48,200.0
8,True,dark_blob,0.8629937351796823,196.16968839127622,327.3679135256634,92.0,228.0,232.0,185.0,31439.0,0.7325023299161231,0.6893006500872021,48.32671241500881,229.0,229.1457142857143,189.0,226,13.701864111498258,1.2540540540540541,75.0,38.0,0.0,455.0,13.701864111498258,0.2765802418528387,True,True,OK,OK,12,11,1,75.0,38.0,196.30603824115596,110.0,False,True,229.15168539325842,13.70139079199781,196.15072979934493,327.38278161138845,True,green_guide_full_height_reference,green_guide_height_reference,447,74,33,328,74.0,402.0,466.67353698108985,466.67353698108985,26.0,12.615384615384615,0.07926829268292683,0,True,466.67353698108985,74.0,402.0,448.0,74.0,32.0,328.0,7447.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,439.0,9.0,True,231.0,17.29076479076479,189.62626262626262,61.29630380887988,0.000789517456116549,0,False,LOW,0,0,117,165,117,165,48,2396,2446,11,-1,,,,0,0,266.66896078193787,33.333333333333336,-109,-454.1666666666667,-654.1666666666666,,,,29.999741914252283,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12499892464271785,48,200.0
9,True,dark_blob,0.8629872208485588,196.1639630183318,327.3675000265063,92.0,228.0,232.0,185.0,31439.0,0.7325023299161231,0.6893006500872021,48.32419415764291,229.0,229.16981132075472,189.0,226,13.699953980671882,1.2540540540540541,75.0,38.0,0.0,455.0,13.699953980671882,0.2764678812159931,True,True,OK,OK,12,11,1,75.0,38.0,196.30603824115596,110.0,False,True,229.16824644549763,13.700078025661774,196.15072979934493,327.3679135256634,True,green_guide_full_height_reference,green_guide_height_reference,447,74,33,328,74.0,402.0,466.67353698108985,466.67353698108985,26.0,12.615384615384615,0.07926829268292683,0,True,466.67353698108985,74.0,402.0,448.0,74.0,32.0,328.0,7447.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,439.0,9.0,True,231.0,17.29076479076479,189.62626262626262,61.251183231913465,0.0007109691169692414,0,False,LOW,0,0,117,165,117,165,48,2396,2446,11,-1,,,,0,0,300.0025808796801,37.5,-108,-450.0,-650.0,,,,29.999741914252283,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12499892464271785,48,200.0
